 XYZ	date	basin	area	DL1	DL2	DL3	DL4	NA	P1	P2	P3	PE
26831NorvegienneP8Pool8.exPool75972574534387	16/06/1973	Norvegienne	418	NA	NA	NA	NA	NA	NA	NA	NA	4
26831NorvegienneP9Pool9.exPool85973134534572	16/06/1973	Norvegienne	211	NA	NA	NA	NA	NA	NA	NA	NA	1
26832NorvegienneP8Pool8.expool75972574534387	17/06/1973	Norvegienne	418	NA	NA	NA	NA	NA	NA	NA	NA	1
26832NorvegienneP9+10+11Pools9.10et11;expools8.9.105972594534666	17/06/1973	Norvegienne	393	NA	NA	NA	NA	NA	NA	NA	NA	1
26833AlbatrosP1Pool1.secteur16003314532742	18/06/1973	Albatros	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
26833AlbatrosP2Pool26005064532799	18/06/1973	Albatros	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
26833AlbatrosP3Pool36005164533045	18/06/1973	Albatros	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26834ChateauNAGrandvirageaval5955134533372	19/06/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
26834ChateauNARapidesavalhallfusee5928534533551	19/06/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
26834ChateauNASouillerivedroitepresduhallfusee5930154533410	19/06/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	18
26851StuderNADeversoirLac15732044542116	06/07/1973	Studer	NA	NA	NA	NA	NA	NA	NA	NA	NA	45
26856ChateauNAAval?5964024532499	11/07/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
26856ChateauNARapidesavalhallfusee5928534533551	11/07/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
26863Ferme1Del'estuaireaubassinincendieinclus5887244532981	18/07/1973	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	10
26863Ferme1et2Del'estuaireaubarrage5886644533107	18/07/1973	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	20
26863Ferme2Del'amontdubassinincendie(exclu)jusqu'aubarrage5885914533182	18/07/1973	Ferme	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
26867ChateauNAAval?5964024532499	22/07/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
26867ChateauNARapidesavalhallfusee5928534533551	22/07/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
26871NorvegienneP10+11+12Pools10.11et12;exPools9.10.115971924534609	26/07/1973	Norvegienne	199	NA	NA	NA	NA	NA	7	9	NA	NA
26871NorvegienneP13Pool13.exPool125970904534765	26/07/1973	Norvegienne	223	NA	NA	NA	NA	NA	13	18	NA	NA
26871NorvegienneP1Pool15974824533590	26/07/1973	Norvegienne	151	NA	NA	NA	NA	NA	2	4	NA	NA
26871NorvegienneP3+4Pools3et45973494533786	26/07/1973	Norvegienne	267	NA	NA	NA	NA	NA	4	3	NA	NA
26871NorvegienneP4+5Pool4+Pool5=exPool4.audessusdupiegeetendessouslimiteavalsecteur25972624533865	26/07/1973	Norvegienne	296	NA	NA	NA	NA	NA	NA	NA	NA	1
26871NorvegienneP6+7Pools6et7.exPools5-65973224534096	26/07/1973	Norvegienne	292	NA	NA	NA	NA	NA	29	7	NA	NA
26871NorvegienneP7a12Pools7a125973134534572	26/07/1973	Norvegienne	1069	NA	NA	NA	NA	NA	NA	NA	NA	37
26871NorvegienneP8Pool8.exPool75972574534387	26/07/1973	Norvegienne	418	NA	NA	NA	NA	NA	11	6	NA	NA
26871NorvegienneP9Pool9.exPool85973134534572	26/07/1973	Norvegienne	211	NA	NA	NA	NA	NA	7	10	NA	NA
